05.05.2024	60.867,7	63.897,7	65.448,8	60.251,8	455,08K	-4.73%
28.04.2024	63.888,3	63.457,9	64.700,2	56.643,5	693,18K	+0.68%
21.04.2024	63.456,8	64.942,1	67.208,0	62.507,7	451,32K	-2.32%
14.04.2024	64.961,1	63.909,5	66.805,1	59.693,3	869,36K	+1.74%
07.04.2024	63.849,9	68.897,3	72.710,8	61.065,5	680,91K	-7.32%
31.03.2024	68.890,6	69.608,5	71.367,5	64.559,0	649,77K	-1.04%
24.03.2024	69.611,5	64.036,5	71.670,8	63.812,9	583,25K	+8.70%
17.03.2024	64.037,8	65.314,2	68.920,1	60.850,9	644,98K	-1.95%
10.03.2024	65.314,2	68.360,7	73.740,9	64.971,0	753,56K	-4.46%
03.03.2024	68.366,5	61.955,6	69.904,0	60.138,2	796,49K	+10.28%
25.02.2024	61.994,5	51.572,1	63.915,3	50.925,2	642,90K	+20.21%
18.02.2024	51.571,6	51.646,0	52.936,8	50.537,6	327,44K	-0.14%
11.02.2024	51.646,0	47.759,3	52.819,4	47.590,2	455,62K	+8.14%
04.02.2024	47.758,2	43.006,2	48.149,0	42.272,5	402,98K	+11.05%
28.01.2024	43.005,7	42.121,3	43.817,9	41.649,0	320,49K	+2.10%
21.01.2024	42.120,9	41.695,4	42.214,8	38.546,9	427,70K	+1.02%
14.01.2024	41.695,4	42.851,3	43.563,7	40.305,4	418,57K	-2.70%
07.01.2024	42.851,3	43.973,5	48.923,7	41.857,9	771,35K	-2.54%
31.12.2023	43.967,9	42.141,6	45.885,4	40.888,3	482,41K	+4.35%
24.12.2023	42.136,7	43.710,4	43.935,7	41.459,0	338,09K	-3.60%
17.12.2023	43.710,4	42.271,7	44.394,6	40.554,0	358,37K	+3.40%
10.12.2023	42.271,7	43.716,6	44.045,4	40.277,1	399,45K	-3.31%
03.12.2023	43.718,4	39.456,8	44.697,6	39.280,3	488,43K	+10.80%
26.11.2023	39.458,4	37.786,4	39.673,4	36.751,5	337,81K	+4.42%
19.11.2023	37.787,0	36.568,6	38.400,8	35.695,6	377,06K	+3.33%
12.11.2023	36.568,6	37.149,0	37.954,1	34.984,3	371,77K	-1.57%
05.11.2023	37.150,5	35.065,8	37.942,0	34.536,9	395,79K	+5.95%
29.10.2023	35.065,8	34.082,6	35.907,6	33.937,6	356,78K	+2.88%
22.10.2023	34.082,6	29.912,7	35.191,4	29.713,6	546,20K	+13.94%
15.10.2023	29.912,9	26.852,8	30.264,8	26.812,6	453,75K	+11.40%
08.10.2023	26.852,8	27.961,1	28.097,5	26.558,4	258,44K	-3.96%
01.10.2023	27.961,1	26.962,5	28.556,6	26.955,7	355,31K	+3.70%
24.09.2023	26.962,7	26.579,0	27.283,6	26.013,6	283,67K	+1.44%
17.09.2023	26.579,2	26.562,0	27.480,7	26.382,3	282,39K	+0.06%
10.09.2023	26.562,0	25.901,1	26.837,4	24.923,1	327,53K	+2.55%
03.09.2023	25.901,1	25.869,7	26.417,7	25.411,7	233,37K	+0.12%
27.08.2023	25.869,7	26.017,1	28.046,0	25.361,9	371,58K	-0.57%
20.08.2023	26.017,1	26.099,5	26.807,7	25.481,9	293,72K	-0.32%
13.08.2023	26.099,4	29.428,2	29.689,0	25.489,4	442,95K	-11.31%
06.08.2023	29.428,2	29.067,9	30.168,6	28.721,0	256,33K	+1.24%
30.07.2023	29.068,1	29.354,2	30.025,9	28.611,0	282,53K	-0.97%
23.07.2023	29.353,5	29.788,9	30.337,0	28.890,7	245,08K	-1.46%
16.07.2023	29.788,9	30.291,8	30.435,0	29.621,4	253,92K	-1.66%
09.07.2023	30.291,4	30.288,8	31.764,5	29.944,3	429,51K	+0.01%
02.07.2023	30.288,8	30.587,1	31.463,6	29.757,4	347,61K	-0.97%
25.06.2023	30.586,8	30.533,6	31.275,5	29.714,5	489,67K	+0.17%
18.06.2023	30.533,6	26.515,0	31.395,4	26.290,6	595,01K	+15.16%
11.06.2023	26.515,0	25.843,3	26.767,3	24.838,0	403,42K	+2.60%
04.06.2023	25.844,0	27.070,9	27.410,2	25.425,6	392,44K	-4.54%
28.05.2023	27.072,0	26.855,3	28.431,2	26.541,3	364,20K	+0.80%
21.05.2023	26.857,5	27.116,2	27.448,1	25.892,5	326,61K	-0.95%
14.05.2023	27.116,2	26.777,4	27.651,7	26.449,8	318,29K	+1.27%
07.05.2023	26.777,5	28.857,1	29.122,0	25.853,1	501,86K	-7.21%
30.04.2023	28.857,1	29.235,1	29.941,3	27.685,9	479,52K	-1.29%
23.04.2023	29.234,1	27.813,8	29.995,7	27.054,3	594,98K	+5.11%
16.04.2023	27.813,9	30.299,2	30.545,3	27.165,7	583,96K	-8.20%
09.04.2023	30.299,6	27.941,2	30.964,9	27.809,2	544,03K	+8.44%
02.04.2023	27.941,2	28.456,1	28.744,4	27.256,9	397,27K	-1.81%
26.03.2023	28.456,1	27.474,9	29.160,4	26.611,5	684,10K	+3.57%
19.03.2023	27.475,6	26.914,5	28.760,3	26.668,7	1,98M	+2.09%
12.03.2023	26.914,1	20.465,0	27.742,2	20.294,2	4,38M	+31.50%
05.03.2023	20.467,5	22.347,1	22.636,7	19.591,8	2,75M	-8.41%
26.02.2023	22.347,1	23.166,1	23.914,1	22.051,9	1,99M	-3.54%
19.02.2023	23.166,1	24.631,3	25.236,8	22.777,4	2,61M	-5.95%
12.02.2023	24.631,4	21.859,9	25.233,8	21.418,7	2,81M	+12.68%
05.02.2023	21.859,8	23.326,9	23.425,1	21.491,7	2,23M	-6.28%
29.01.2023	23.323,8	23.023,5	24.207,2	22.560,0	2,36M	+1.28%
22.01.2023	23.027,9	22.775,7	23.779,0	22.323,0	2,25M	+1.11%
15.01.2023	22.775,7	20.956,0	23.304,5	20.448,3	2,28M	+8.67%
08.01.2023	20.958,2	16.943,6	21.185,6	16.913,8	2,44M	+23.69%
01.01.2023	16.943,6	16.537,5	17.012,3	16.499,7	1,31M	+2.46%
25.12.2022	16.537,4	16.835,7	16.964,0	16.360,0	1,24M	-1.78%
