2015-08-01    64,27
2015-09-01    65,45
2015-10-01    63,94
2015-11-01    66,48
2015-12-01    73,59
2016-01-01    75,46
2016-02-01    75,16
2016-03-01    67,02
2016-04-01    64,65
2016-05-01    66,69
2016-06-01    63,97
2016-07-01    66,04
2016-08-01    65,33
2016-09-01    62,83
2016-10-01    63,38
2016-11-01    64,14
2016-12-01    61,27
2017-01-01    60,15
2017-02-01    58,30
2017-03-01    56,26
2017-04-01    56,93
2017-05-01    56,56
2017-06-01    58,94
2017-07-01    59,77
2017-08-01    58,00
2017-09-01    57,48
2017-10-01    58,32
2017-11-01    58,43
2017-12-01    57,61
2018-01-01    56,20
2018-02-01    56,32
2018-03-01    57,14
2018-04-01    62,94
2018-05-01    62,40
2018-06-01    62,73
2018-07-01    62,50
2018-08-01    67,54
2018-09-01    65,55
2018-10-01    65,87
2018-11-01    66,95
2018-12-01    69,83
2019-01-01    65,41
2019-02-01    65,91
2019-03-01    65,63
2019-04-01    64,63
2019-05-01    65,43
2019-06-01    63,23
2019-07-01    63,62
2019-08-01    66,76
2019-09-01    64,85
2019-10-01    64,13
2019-11-01    64,31
2019-12-01    61,98
2020-01-01    63,92
2020-02-01    66,88
2020-03-01    78,44
2020-04-01    74,38
2020-05-01    70,14
2020-06-01    71,17
2020-07-01    74,41
2020-08-01    74,07
2020-09-01    77,63
2020-10-01    79,52
2020-11-01    76,40
2020-12-01    74,41
2021-01-01    75,74
2021-02-01    74,61
2021-03-01    75,69
2021-04-01    75,20
2021-05-01    73,43
2021-06-01    73,15
2021-07-01    73,14
2021-08-01    73,22
2021-09-01    72,75
2021-10-01    70,94
2021-11-01    74,08
2021-12-01    74,65
2022-01-01    77,37
2022-02-01    94,60
2022-03-01    83,20
2022-04-01    70,96
2022-05-01    61,50
2022-06-01    51,45
2022-07-01    61,62
2022-08-01    60,23
2022-09-01    58,45
2022-10-01    61,47
2022-11-01    60,99
2022-12-01    69,90
2023-01-01    69,82
2023-02-01    74,97
2023-03-01    77,59
2023-04-01    80,25
2023-05-01    81,10
2023-06-01    89,55
2023-07-01    91,60
2023-08-01    96,02
2023-09-01    97,96
2023-10-01    93,40
2023-11-01    89,45
2023-12-01    90,36
2024-01-01    90,01
2024-02-01    91,15
2024-03-01    92,48
2024-04-01    93,05
